Ticker,Name,Currentprice
PAYC,"Paycom Software, Inc.",181.22
CTLT,"Catalent, Inc.",56.51
MOS,Mosaic Company (The),31.59
BBWI,"Bath & Body Works, Inc.",44.76
BXP,"Boston Properties, Inc.",63.94
BIO,"Bio-Rad Laboratories, Inc.",343.76
AAL,"American Airlines Group, Inc.",14.68
HSIC,"Henry Schein, Inc.",74.76
APA,APA Corporation,30.81
AIZ,"Assurant, Inc.",178.51
CZR,"Caesars Entertainment, Inc.",42.13
MTCH,"Match Group, Inc.",33.9
ETSY,"Etsy, Inc.",72.31
RHI,Robert Half Inc.,81.34
FRT,Federal Realty Investment Trust,102.17
NCLH,Norwegian Cruise Line Holdings ,19.99
CHRW,"C.H. Robinson Worldwide, Inc.",72.45
MKTX,"MarketAxess Holdings, Inc.",215.12
PNW,Pinnacle West Capital Corporati,71.7
FMC,FMC Corporation,62.69
MHK,"Mohawk Industries, Inc.",121.66
PARA,Paramount Global,10.93
BWA,BorgWarner Inc.,32.04
HAS,"Hasbro, Inc.",51.75
IVZ,Invesco Ltd,15.88
GNRC,Generac Holdlings Inc.,117.1
XRAY,DENTSPLY SIRONA Inc.,33.75
CMA,Comerica Incorporated,52.69
VFC,V.F. Corporation,16.1
ZION,Zions Bancorporation N.A.,42.24
WHR,Whirlpool Corporation,109.33
DOC,"Healthpeak Properties, Inc.",17.74
